cause_i,effect_j,lingam_b_ij,b_median_bootstrap,b_iqr_low,b_iqr_high,bootstrap_freq,is_stable_edge,has_path,n_int_cells,mw_pvalue_raw,mw_p_bh,wasserstein,verdict,mw_pvalue_raw_rev,mw_p_bh_rev
ENSG00000122026,ENSG00000144713,0.0,0.0,0.0,0.02316143125395463,0.39,False,True,210,2.1731417118857968e-07,3.3162393753632966e-07,0.12421370210203726,indirect_path,0.8130803074831193,0.8240046110385547
ENSG00000174748,ENSG00000137818,0.0,0.0,0.0,0.0,0.0,False,False,134,0.009272276635973293,0.011519440150103291,0.12363758419350156,false_omission,0.01332006912620587,0.0164130606735979
ENSG00000161970,ENSG00000198755,0.0,0.0,0.0,0.026423019205114723,0.29,False,True,167,8.733993968981842e-07,1.2881421272688303e-06,0.12315361295340943,indirect_path,0.574398385684674,0.5976006850078973
ENSG00000122026,ENSG00000108298,0.0,0.03170997905954731,0.0,0.046559671627093666,0.55,False,False,210,6.6652146649288815e-09,1.0696757881709573e-08,0.12235940193807784,false_omission,0.09674900350970798,0.1091527219083885
ENSG00000174748,ENSG00000063177,0.0,0.0,0.0,0.0,0.16,False,False,134,1.3631030779321746e-05,1.8989932061957472e-05,0.1219044094028478,false_omission,3.015334015718611e-24,9.202869134678767e-24
ENSG00000186468,ENSG00000198755,0.0,0.0,0.0,0.0,0.05,False,True,91,0.000276067032882391,0.0003657801590010099,0.1216739431797007,indirect_path,0.0050821554305854845,0.00641956475442377
ENSG00000188846,ENSG00000167526,0.0,0.0,0.0,0.004994418326368526,0.25,False,False,176,8.683239612393675e-07,1.2824476965996813e-06,0.12122916697546057,false_omission,3.19748779556227e-20,7.9261669298445e-20
ENSG00000063177,ENSG00000186468,0.0,0.0,0.0,0.0,0.16,False,True,246,7.570220290419734e-12,1.3257301205113166e-11,0.12120519145236106,indirect_path,7.124663205885722e-10,1.1879181036056246e-09
ENSG00000163682,ENSG00000164587,0.0,0.0,0.0,0.05290274602932367,0.43,False,False,194,4.2755250728976164e-07,6.468416156131637e-07,0.12108557387224267,false_omission,8.039968433339056e-11,1.3716004306310246e-10
ENSG00000163682,ENSG00000108298,0.0,0.0,0.0,0.06066898864323436,0.42,False,False,194,2.02933584162813e-12,3.613791987789722e-12,0.12082613717378263,false_omission,0.6105043045382432,0.6326717817393374
ENSG00000063177,ENSG00000198755,0.0,0.0,0.0,0.0,0.17,False,True,246,2.108402042246101e-08,3.313203209243873e-08,0.12071124770076726,indirect_path,0.08635611514028892,0.09805597590123127
ENSG00000167526,ENSG00000142534,0.0,0.0,0.0,0.0,0.1,False,True,270,4.9056674281888994e-08,7.629432701277581e-08,0.12062254609468456,indirect_path,1.4524045172522083e-55,2.160196014392017e-54
ENSG00000164587,ENSG00000122026,0.0,0.0,0.0,0.0,0.18,False,False,145,3.103450827975722e-08,4.85517640643313e-08,0.12016353449566192,false_omission,0.036890212975324195,0.04362381288011461
ENSG00000122026,ENSG00000122406,0.0,0.03888784236338317,0.0,0.05347942229237543,0.56,False,False,210,6.302598056773309e-08,9.773191700370946e-08,0.11980400976905568,false_omission,0.03226194535186648,0.038495609369006784
ENSG00000186468,ENSG00000231500,0.0,0.0,0.0,0.0,0.12,False,False,91,7.880376368461091e-06,1.120010423296758e-05,0.11767604797194603,false_omission,1.1257380117916743e-30,4.589881623366827e-30
ENSG00000089157,ENSG00000109475,0.0,0.0,0.0,0.0,0.16,False,False,147,6.676518289505942e-05,9.10904820893834e-05,0.11725325402362288,false_omission,0.006263252790083448,0.007873803507533477
ENSG00000167526,ENSG00000144713,0.0,0.0,0.0,0.0,0.02,False,False,270,3.032715403868429e-13,5.569647767800106e-13,0.11630728690695505,false_omission,0.11115524472006623,0.12447501423583238
ENSG00000265681,ENSG00000122026,0.0,0.0,0.0,0.0,0.14,False,False,119,2.0256563743697622e-05,2.803529660988819e-05,0.1155521862267749,false_omission,1.600687577179436e-13,3.002355384549706e-13
ENSG00000108298,ENSG00000083845,0.0,0.08372566377353202,0.0,0.11557578808266365,0.71,False,False,190,6.095098948177614e-07,9.078172763435206e-07,0.1154258492660391,false_omission,3.5846283001942326e-23,1.034253411203582e-22
ENSG00000174748,ENSG00000145425,0.0,0.0,0.0,0.029113596897546355,0.3,False,False,134,0.034026348561055825,0.04041824980930816,0.1153895287318763,false_omission,6.622415531384805e-25,2.0690150299237736e-24
ENSG00000163682,ENSG00000167526,0.0,0.07325640464572536,0.0,0.08526458154537676,0.69,False,False,194,3.4064407436179226e-06,4.9276731852883926e-06,0.11424173815623084,false_omission,0.19935244208113745,0.216803479750444
ENSG00000168028,ENSG00000231500,0.0,0.0,0.0,0.0,0.12,False,True,179,7.348922720666928e-10,1.2221200618935868e-09,0.1139295175985614,indirect_path,6.115549025513021e-23,1.7407061377201482e-22
ENSG00000167526,ENSG00000122406,0.0,0.0,0.0,0.0,0.04,False,False,270,1.968299504876554e-11,3.407416847786297e-11,0.11288114792884635,false_omission,0.007316681677631723,0.00918717699355422
ENSG00000149273,ENSG00000089157,0.0,0.0,0.0,0.0,0.13,False,True,221,2.1265868227771707e-08,3.336813796214996e-08,0.11264854613224076,indirect_path,1.0451699529642858e-12,1.8802375985183744e-12
ENSG00000174748,ENSG00000145592,0.0,0.0,0.0,0.0,0.03,False,False,134,0.021250355525692394,0.02582321684134772,0.11206842497851371,false_omission,0.00021709619987116116,0.00028982754369651857
ENSG00000122406,ENSG00000137818,0.0,0.0,0.0,0.0,0.1,False,False,160,0.0013919078061026598,0.0018012924549563835,0.11160366097768956,false_omission,0.6800400100735926,0.6978836254982641
ENSG00000167526,ENSG00000198034,0.0,0.0,0.0,0.0,0.02,False,False,270,5.506648695493847e-10,9.230192099113496e-10,0.11022770159326029,false_omission,1.353109930753515e-44,9.720299910719128e-44
ENSG00000168028,ENSG00000122026,0.0,0.0,0.0,0.0,0.12,False,False,179,5.9674208410944505e-06,8.550334339478616e-06,0.10987723832882955,false_omission,3.0356275540756897e-27,1.0829806409134892e-26
ENSG00000122026,ENSG00000137818,0.0,0.0,0.0,0.0,0.16,False,False,210,1.9525918094754193e-06,2.8519183275325625e-06,0.10956883837422457,false_omission,0.010246865222471502,0.012690858771452856
ENSG00000168028,ENSG00000083845,0.0,0.0,0.0,0.06227880400855486,0.3,False,False,179,6.275891235825532e-06,8.943780222714929e-06,0.10950525767680538,false_omission,2.2754375037139098e-18,5.201000008488937e-18
ENSG00000188846,ENSG00000145592,0.0,0.0,0.0,0.0,0.01,False,False,176,5.598407642296757e-07,8.3501673308833e-07,0.10835117801912861,false_omission,0.00776800946705586,0.009730744955173178
ENSG00000134419,ENSG00000083845,0.0,0.0,0.0,0.045414144816129966,0.42,False,False,251,1.1827293821924447e-08,1.878138688113115e-08,0.10776385721688876,false_omission,1.097060345057688e-26,3.785933739806923e-26
ENSG00000122026,ENSG00000105372,0.0,0.0,0.0,0.0626456654413969,0.29,False,False,210,9.411205554356619e-08,1.4550853682870556e-07,0.10728668468524274,false_omission,3.6962295244892924e-32,1.5931503583104869e-31
